name,smiles,tpsa,clogp,mol_weight,hbd,hba,is_common
BS3,O=C(CCCCCCC(ON1C(CC(S(O)(=O)=O)C1=O)=O)=O)ON2C(CC(S(O)(=O)=O)C2=O)=O,236.1,-1.73,528.47,2,12,1
DSS,O=C(CCCCCCC(ON1C(CCC1=O)=O)=O)ON2C(CCC2=O)=O,127.36,0.54,368.34,0,8,1
DSBU,O=C(CCCNC(NCCCC(ON1C(CCC1=O)=O)=O)=O)ON2C(CCC2=O)=O,168.49,-0.94,426.38,2,9,1
DSSO,O=C(CCS(CCC(ON1C(CCC1=O)=O)=O)=O)ON2C(CCC2=O)=O,144.43,-1.27,388.35,0,9,1
DSP,O=C(CCSSCCC(ON1C(CCC1=O)=O)=O)ON2C(CCC2=O)=O,127.36,0.36,404.42,0,10,1
Formaldehyde,[H]C([H])=O,17.07,-0.18,30.03,0,1,1
DOPA2,O=CC1=C(C=O)C=CC(OCCOCCOC2=CC=C(C=O)C(C=O)=C2)=C1,95.97,2.41,370.36,0,7,1
BSP,O=C(CCC(CCC(NCC#C)=O)CCC(ON1C(CCC1=O)=O)=O)ON2C(CCC2=O)=O,156.46,-0.09,463.44,1,9,1
t-Bu-ProX,O=C(C1=CC(P(OC(C)(C)C)(OC(C)(C)C)=O)=CC(C(ON2C(CCC2=O)=O)=O)=C1)ON3C(CCC3=O)=O,162.89,2.58,552.47,0,11,1
DiSPASO,O=C(CCS(CC1=CC(CS(CCC(ON2C(CCC2=O)=O)=O)=O)=CC(C#C)=C1)=O)ON3C(CCC3=O)=O,161.5,0.16,564.59,0,10,1
SDA,CC1(N=N1)CCC(ON(C(CC2)=O)C2=O)=O,88.4,0.56,225.2,0,6,1
sulfo-SDA,CC1(N=N1)CCC(ON(C(CC2S(=O)(O)=O)=O)C2=O)=O,142.77,-0.58,305.27,1,8,1
BDG,CC1(N=N1)CNC(CCCC(NCC2(N=N2)C)=O)=O,107.64,0.75,266.31,2,6,0
EBDA,CC1(N=N1)CCC(NCCNC(CCC2(N=N2)C)=O)=O,107.64,1.14,280.33,2,6,0
DCD,CC1(N=N1)CCNC(CCCCCCC(NCCC2(N=N2)C)=O)=O,107.64,2.7,336.44,2,6,0
DCDS,CC1(N=N1)CCNC(CCCC(NCCC2(N=N2)C)=O)=O,107.64,1.53,294.36,2,6,0
